Ano,Mes,Mes_txt,Produto,Descricao,Orçado,Realizado,Var_pct,Var_rs
2020,2,Fev,18202,18202 - RENDAS DA CARTEIRA DE CREDITO,829950.493373,729676.34,-12.0819439440871,-100274.153373
2020,2,Fev,1820201,1820201 - RENDAS ADIANTAMENTOS A DEPOSITANTES,0,56.25,0,56.25
2020,2,Fev,1820202,1820202 - RENDAS CHEQUE CONFIANCA,38681.11,18940.5,-51.034238676191,-19740.61
2020,2,Fev,1820203,1820203 - RENDAS CHEQUE ESPECIAL BANESTES,26606.22,17805.1,-33.0791822363342,-8801.12
2020,2,Fev,1820204,1820204 - RENDAS CREDITOS CEDIDOS,0,0,0,0
2020,2,Fev,1820205,1820205 - RENDAS CONTA GARANTIDA,23790.47,14882.62,-37.4429340824288,-8907.85
2020,2,Fev,1820206,1820206 - RENDAS REESTRUTURACAO DE DIVIDAS,39268.31,39502.07,0.595289178474956,233.760000000002
2020,2,Fev,1820207,1820207 - RENDAS CONSIGNADO,307357.51,270682.84,-11.9322511429768,-36674.67
2020,2,Fev,1820208,1820208 - RENDAS MICROCREDITO,1625.123373,1943.44,19.5872284091505,318.316627
2020,2,Fev,1820209,1820209 - RENDAS VENDOR,0,0,0,0
2020,2,Fev,1820210,1820210 - RENDAS COMPROR,0,0,0,0
2020,2,Fev,1820211,1820211 - RENDAS CREDITO PESSOAL,117696.14,112197.34,-4.67203087543908,-5498.8
2020,2,Fev,1820212,1820212 - RENDAS CAPITAL DE GIRO,103422.63,98655.28,-4.60958109458249,-4767.35000000001
2020,2,Fev,1820213,1820213 - RENDAS BANESTES FINANCEIRA,0,0,0,0
2020,2,Fev,1820214,1820214 - RENDAS CARTAO VISA,43957.46,34020.02,-22.6069477171793,-9937.44
2020,2,Fev,1820215,1820215 - RENDAS CARTAO BANESCARD,66338.92,58747.97,-11.4426795009626,-7590.95
2020,2,Fev,1820216,1820216 - RENDAS TITULOS DESCONTADOS,28913.11,31188.47,7.86964805930597,2275.36
2020,2,Fev,1820217,1820217 - RENDAS F. INVESTIMENTO,1333.31,0,-100,-1333.31
2020,2,Fev,1820218,1820218 - RENDAS F. VEICULOS,0,0,0,0
2020,2,Fev,1820219,1820219 - RENDAS F. BENS,5382.16,4513.74,-16.1351576318801,-868.42
2020,2,Fev,1820221,1820221 - RENDAS F. RURAIS,0,0,0,0
2020,2,Fev,1820222,1820222 - RENDAS F. IMOBILIARIOS,25578.02,26540.7,3.76370023950252,962.68
2020,2,Fev,1820223,1820223 - RENDAS LEASING,0,0,0,0
